title,vote_average,vote_count,original_language
Dragon Ball Super: Super Hero,8,1222,ja
Samaritan,7,781,en
DC League of Super-Pets,7.6,420,en
Nope,7.1,1219,en
Jurassic World Dominion,7.1,3195,en
Office Invasion,5.9,73,en
Groot's First Steps,7.5,112,en
Groot Takes a Bath,7.1,109,en
Spider-Man: No Way Home,8,14997,en
Lightyear,7.2,1980,en
Magnum Opus,7.5,93,en
The Little Guy,7.8,94,en
Groot's Pursuit,7.5,93,en
Avatar,7.5,25983,en
Morbius,6.5,2456,en
Dragon Ball Z: Resurrection 'F',6.8,1467,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,6.9,7933,en
Moonfall,6.4,1781,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Z: Broly – The Legendary Super Saiyan,7.3,675,ja
Spiderhead,5.8,924,en
Eternals,7.1,6203,en
Resident Evil: Welcome to Raccoon City,6.1,1796,en
Avengers: Infinity War,8.3,25343,en
Bubble,7.5,234,ja
Rise of the Teenage Mutant Ninja Turtles: The Movie,7.4,81,en
Green Lantern: Beware My Power,7.2,92,en
Dragon Ball Z: Wrath of the Dragon,7.2,527,ja
Dragon Ball Z: Battle of Gods,6.8,1258,ja
The Matrix Resurrections,6.6,4060,en
The Tomorrow War,7.9,5783,en
Zack Snyder's Justice League,8.3,8112,en
Z-O-M-B-I-E-S 3,7.8,217,en
The Adam Project,7.1,2891,en
Free Guy,7.6,6224,en
Black Widow,7.4,8081,en
Dark Cloud,6.6,59,en
Dune,7.9,7622,en
Godzilla vs. Kong,7.8,8172,en
The Predator,5.6,3903,en
Dragon Ball Z: Bardock - The Father of Goku,7.5,514,ja
Avatar: The Way of Water,0,0,en
Dragon Ball Z: The Tree of Might,6.5,429,ja
Dragon Ball Z: Broly – Second Coming,6.7,522,ja
The Maze Runner,7.2,14908,en
Belle,8,432,ja
Deathstroke: Knights & Dragons - The Movie,6.9,366,en
Panash,6.7,11,es
Everything Everywhere All at Once,8.2,1548,en
The Avengers,7.7,27457,en
War of the Worlds: Annihilation,5.4,72,en
Predators,6.2,3352,en
Avengers: Endgame,8.3,21709,en
LEGO Star Wars Summer Vacation,6,27,en
Avengers: Age of Ultron,7.3,20301,en
Predator 2,6.2,2511,en
Dragon Ball Z: Fusion Reborn,7.4,650,ja
Dragon Ball Z: Super Android 13!,6.7,398,ja
Dragon Ball Z: Lord Slug,6.4,403,ja
Interstellar,8.4,29265,en
Space Jam: A New Legacy,7,3276,en
Ron's Gone Wrong,8.1,1387,en
Infinite,6.7,1182,en
Mobile Suit Gundam Hathaway,7.4,97,ja
Dragon Ball Z: Cooler's Revenge,6.9,498,ja
Real Steel,6.9,6874,en
A Quiet Place Part II,7.6,4651,en
The Incredible Hulk,6.2,10085,en
Predator,7.5,6465,en
Thor: Ragnarok,7.6,18168,en
Finch,8,2518,en
Spider-Man: Homecoming,7.4,19044,en
Alienoid,6.5,22,ko
Teenage Mutant Ninja Turtles,5.9,5990,en
Iron Man 2,6.8,18343,en
Knowing,6.1,4498,en
Dragon Ball Super: Broly,7.9,2405,ja
Dragon Ball Z: The Return of Cooler,6.6,429,ja
Aliens vs Predator: Requiem,5.1,2306,en
The In Between,7.3,429,en
Meander,6.1,276,fr
Jurassic World,6.7,18412,en
Dragon Ball: Yo! Son Goku and His Friends Return!!,6.4,173,ja
Dragon Ball Z: Bojack Unbound,7,421,ja
Mother/Android,5.8,547,en
The Meg,6.2,6010,en
2012,5.8,10645,en
Journey 2: The Mysterious Island,6.1,3630,en
Carriers,6.1,1157,en
Sing a Bit of Harmony,7.3,10,ja
In Time,7,9794,en
Transformers: Age of Extinction,5.9,6869,en
Dragon Ball Z: Bio-Broly,5.7,414,ja
Sonic the Hedgehog,7.4,8272,en
The Hunger Games: Mockingjay - Part 1,6.8,13792,en
Apex,5.4,475,en
Guardians of the Galaxy Vol. 2,7.6,18691,en
Spider-Man: Far from Home,7.5,13050,en
Solitary,5.4,80,en
World War Z,6.8,13363,en
Pacific Rim,6.9,10794,en
Prometheus,6.5,10468,en
Dragon Ball Z: The World's Strongest,6.4,381,ja
Dawn of the Planet of the Apes,7.3,9666,en
Doomsday,6,1040,en
Terminator Genisys,5.9,7346,en
Jurassic Hunt,5.1,206,en
Venom,6.8,13661,en
Captain America: Civil War,7.4,20239,en
Iron Man,7.6,23240,en
Hulk,5.5,4934,en
Inception,8.4,32203,en
Dragon Ball Z: The History of Trunks,7.5,432,ja
Transformers: The Last Knight,6.1,5133,en
Jurassic World: Fallen Kingdom,6.6,10194,en
Black Panther,7.4,19479,en
Mad Max: Fury Road,7.6,19738,en
Chronicle,6.8,4499,en
Train to Busan,7.8,5890,ko
Spider-Man: Into the Spider-Verse,8.4,11715,en
Green Lantern,5.2,6333,en
Ready Player One,7.6,13244,en
Iron Man 3,6.9,19832,en
Evangelion: 3.0+1.0 Thrice Upon a Time,8.4,549,ja
John Carter,6.3,4853,en
Don't Look Up,7.2,5937,en
Arrival,7.6,15400,en
How I Became a Superhero,6.1,398,fr
Dual,6.3,131,en
Maze Runner: The Death Cure,7.1,6567,en
Maze Runner: The Scorch Trials,6.7,9048,en
Injustice,7.6,607,en
Kingsman: The Golden Circle,7,8820,en
Captain America: The First Avenger,7,18989,en
Chappie,6.8,6985,en
Man of Steel,6.6,13388,en
AVP: Alien vs. Predator,5.9,3620,en
Tenet,7.2,7520,en
Justice League,6.1,11546,en
Alien: Covenant,6.1,7252,en
Awake,6,875,en
Dragon Ball: Episode of Bardock,6.9,335,ja
X-Men: Apocalypse,6.5,11506,en
Glass,6.7,7131,en
Godzilla: King of the Monsters,6.7,4977,en
Battle: Los Angeles,5.7,2965,en
Insurgent,6.4,9021,en
Terminator: Dark Fate,6.5,4166,en
Skylines,5.6,437,en
Ant-Man,7.1,17438,en
Nemesis,5.4,110,en
Jiu Jitsu,5,504,en
Voyagers,6.1,572,en
Ant-Man and the Wasp,7,11435,en
Terminator 2: Judgment Day,8.1,10645,en
The Mystery of Lop Nur,2,1,zh
Terminator Salvation,6,5555,en
Pokémon the Movie: Secrets of the Jungle,7.1,99,ja
Rampage,6.4,6018,en
Pacific Rim: Uprising,6.1,4108,en
War for the Planet of the Apes,7.1,7493,en
Alien,8.1,11994,en
Logan,7.8,17109,en
Cosmic Sin,4.2,457,en
The Matrix,8.2,22033,en
Dragonball Evolution,2.8,1720,en
Hellboy,5.5,2826,en
Arctic Predator,5.6,33,en
Alita: Battle Angel,7.2,7683,en
The Purge,6.3,7346,en
Captain Marvel,6.9,13425,en
Star Wars,8.2,17650,en
Star Wars: The Rise of Skywalker,6.4,8039,en
Outside the Wire,6.4,1500,en
Seobok: Project Clone,7.5,131,ko
Zone 414,5.4,186,en
Blade Runner 2049,7.5,11060,en
Dinosaur Hotel,5.2,63,en
Pixels,5.7,6587,en
The Hunger Games: Mockingjay - Part 2,6.9,10771,en
Teen Titans Go! See Space Jam,6.7,189,en
Star Wars: The Force Awakens,7.3,17306,en
Limitless,7.2,9212,en
The Iron Giant,7.9,4650,en
Tekken,5.4,568,en
Chaos Walking,6.7,1859,en
X-Men: Days of Future Past,7.5,13630,en
Dark Phoenix,6,5416,en
I Am Legend,7.2,13601,en
Cowboys & Aliens,5.6,4404,en
The Martian,7.7,17347,en
WALL·E,8.1,16097,en
Edge of Tomorrow,7.6,11912,en
War of the Worlds,6.5,7083,en
Men in Black 3,6.5,9040,en
Europa Report,6.2,1141,en
Divergent,6.9,11447,en
Megamind,6.9,5789,en
AI Love You,6,36,th
Guardians of the Galaxy,7.9,24869,en
A Quiet Place,7.4,11952,en
Jupiter Ascending,5.4,5993,en
G.I. Joe: The Rise of Cobra,5.8,4016,en
Space Sweepers,7.1,820,ko
District 9,7.4,8069,en
Back to the Future,8.3,16921,en
Ice Age: Collision Course,6.1,3862,en
Transformers: Rise of the Beasts,0,0,en
TRON: Legacy,6.4,6172,en
Black Panther: Wakanda Forever,0,0,en
Star Wars: The Last Jedi,6.9,13310,en
Riddick,6.3,3509,en
Aliens,7.9,7896,en
Coherence,7.3,2241,en
Phineas and Ferb: The Movie: Candace Against the Universe,7.4,308,en
Power Rangers,6.3,3927,en
Godzilla,6.3,7777,en
Lucy,6.4,14305,en
The Hunger Games: Catching Fire,7.4,15190,en
Snowpiercer,6.9,8278,ko
Attack on Titan,5.9,580,ja
Independence Day: Resurgence,5.3,5331,en
Dragon Ball: Curse of the Blood Rubies,6.8,244,ja
Universal Soldier: Regeneration,5.6,355,en
The King of Fighters,5.2,116,en
Cloverfield,6.7,6034,en
Rise of the Planet of the Apes,7.3,10106,en
Skyline,4.9,1355,en
Attack on Titan II: End of the World,5.9,229,ja
Batman and Superman: Battle of the Super Sons,0,0,en
Sonic Drone Home,6.5,23,en
The Adventures of Sharkboy and Lavagirl,5.1,1232,en
Fantastic Four,4.4,5290,en
Paul,6.7,4884,en
Pokémon the Movie: Volcanion and the Mechanical Marvel,6.6,107,ja
The Hunger Games,7.2,19491,en
Sword Art Online: The Movie – Ordinal Scale,7.7,544,ja
Avengers: The Kang Dynasty,0,0,en
Justice Society: World War II,7.6,426,en
The New Mutants,6.2,2779,en
Terminator 3: Rise of the Machines,6.1,5570,en
Super 8,6.7,5808,en
Armageddon,6.8,6766,en
The Happening,5.3,2907,en
Journey to the Center of the Earth,6,4145,en
LEGO Star Wars Terrifying Tales,6.8,194,en
Death Race 2,5.8,916,en
Eternal Sunshine of the Spotless Mind,8.1,12572,en
Teenage Mutant Ninja Turtles: Out of the Shadows,6,2969,en
Star Trek,7.4,8792,en
The Terminator,7.6,10769,en
Project Almanac,6.7,2181,en
Deep,6.3,77,th
Deep Blue Sea 3,5.9,222,en
Mad Max Beyond Thunderdome,6.2,2273,en
Redcon-1,5.6,214,en
CJ7,7.2,509,cn
Lockout,5.9,1576,en
Superman: Doomsday,6.7,498,en
Captain America: The Winter Soldier,7.7,16508,en
What Happened to Monday,7.2,5343,en
Total Recall,6,4770,en
"I, Robot",6.9,10171,en
Battleship,5.8,4777,en
Stand by Me Doraemon,7.4,382,ja
Planet Hulk,7,389,en
Death Race: Inferno,5.8,613,en
Vivarium,6,1436,en
Avengers Confidential: Black Widow & Punisher,6.3,193,ja
Avengers: Secret Wars,0,0,en
Containment,5.9,155,en
Bird Box,6.9,8520,en
Independence Day,6.9,8215,en
The Flu,7.5,989,ko
The Matrix Reloaded,7,9269,en
Geostorm,6.1,4034,en
9,6.9,2995,en
Gemini Man,6.3,4378,en
Spy Kids 3-D: Game Over,5.1,1851,en
Megalodon,5.7,220,en
Green Lantern: Emerald Knights,6.7,416,en
Annihilation,6.4,7335,en
The 5th Wave,5.9,5185,en
Tomorrowland,6.2,6258,en
Rise of the Mummy,5.3,35,en
Killer Klowns from Outer Space,6.4,713,en
Home,6.8,3433,en
Astro Boy,6.3,1279,en
The Fifth Element,7.5,9151,en
The Call,7.6,546,ko
Allegiant,6.1,5872,en
