title,vote_average,vote_count,original_language
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
Jurassic World Dominion,7.1,3181,en
Office Invasion,5.9,71,en
Groot's First Steps,7.5,108,en
Groot Takes a Bath,7.1,102,en
Spider-Man: No Way Home,8,14982,en
Lightyear,7.2,1975,en
Magnum Opus,7.5,88,en
The Little Guy,7.8,89,en
Groot's Pursuit,7.6,88,en
Avatar,7.5,25981,en
Morbius,6.4,2454,en
Dragon Ball Z: Resurrection 'F',6.8,1463,ja
My Hero Academia: World Heroes' Mission,7.6,271,ja
Venom: Let There Be Carnage,7,7924,en
Moonfall,6.4,1777,en
Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.2,99,ja
Dragon Ball Super: Super Hero,8,1153,ja
Samaritan,7,733,en
DC League of Super-Pets,7.6,399,en
Nope,7.1,1180,en
